FSM,minimum total-time,minimum theoretical total-time
halflife2-deathmatch.test,8.945502000000001,1.7627520000000003
counterstrike-source.test,13.361367000000001,2.8921279999999987
ntp.test,10.103613000000001,2.045024
battlefield2.test,7.101827,1.4087359999999998
yahoo.test,17.359581,4.5580479999999985
h323.test,16.062066,3.3718399999999997
tsp.test,6.931483999999999,1.6321599999999998
hotline.test,9.956666,1.7141120000000003
rtp.test,10.004787,2.24688
dns.test,36.872513,11.122304
ssl.test,6.60302,2.6375040000000003
aim.test,7.725022999999999,1.94832
