FSM,Testcases,Cores,Total CPU
dns.test,8533671,32,24.974881
dns.test,8533671,16,33.25151
dns.test,8533671,8,59.043535
dns.test,8533671,1,313.841608
dns.test,4194304,32,13.2763
dns.test,4194304,16,16.598378
dns.test,4194304,8,29.12493
dns.test,4194304,1,154.312366
dns.test,2097152,32,6.604277
dns.test,2097152,16,8.612778
dns.test,2097152,8,14.661326
dns.test,2097152,1,77.389628
dns.test,1048576,32,3.358116
dns.test,1048576,16,4.298252
dns.test,1048576,8,7.390133
dns.test,1048576,1,38.487036
dns.test,524288,32,1.630099
dns.test,524288,16,2.124716
dns.test,524288,8,3.985921
dns.test,524288,1,18.967679
dns.test,262144,32,0.89432
dns.test,262144,16,1.132968
dns.test,262144,8,1.891865
dns.test,262144,1,9.560316
dns.test,131072,32,0.521087
dns.test,131072,16,0.692059
dns.test,131072,8,0.993006
dns.test,131072,1,4.758786
dns.test,65536,32,0.261905
dns.test,65536,16,0.443283
dns.test,65536,8,0.622567
dns.test,65536,1,3.123588
dns.test,32768,32,0.18941
dns.test,32768,16,0.249125
dns.test,32768,8,0.390763
dns.test,32768,1,1.585191
dns.test,16384,32,0.086883
dns.test,16384,16,0.129626
dns.test,16384,8,0.197441
dns.test,16384,1,0.795005
dns.test,8192,32,0.03534
dns.test,8192,16,0.073473
dns.test,8192,8,0.097987
dns.test,8192,1,0.406826
dns.test,4096,32,0.024095
dns.test,4096,16,0.041277
dns.test,4096,8,0.064185
dns.test,4096,1,0.269378
dns.test,2048,32,0.018648
dns.test,2048,16,0.024165
dns.test,2048,8,0.032267
dns.test,2048,1,0.104552
